Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/pen-charter2/,24,21,0:02:30,6,66.67%,50.00%,$0.00 
/user/karin-karlekar/,24,23,0:00:30,12,83.33%,58.33%,$0.00 
/user/robert-pollock/,24,20,0:01:59,7,71.43%,62.50%,$0.00 
/about-us/corporate-sponsorship/,23,19,0:01:24,3,100.00%,26.09%,$0.00 
/advocacy-case/roman-sushchenko/,23,21,0:10:28,21,85.71%,82.61%,$0.00 
/order-free-copy-pens-handbook-writers-prison/,23,12,0:01:42,3,0.00%,30.43%,$0.00 
/press-release/barry-jenkins-award-screenplay-excellence-2018-litfest-gala/,23,21,0:00:43,3,33.33%,26.09%,$0.00 
/press-release/sentsov-hunger-strike-power-lone-voice-tyranny/,23,20,0:02:27,16,100.00%,73.91%,$0.00 
/user/adeline-lee/,23,16,0:03:08,9,66.67%,34.78%,$0.00 
/user/nadxieli-nieto/,23,18,0:02:27,12,66.67%,52.17%,$0.00 
/advocacy-case/eskinder-nega/,22,16,0:03:22,15,66.67%,63.64%,$0.00 
/maintenance/pen/pen-dot-org-wp/donate/,22,1,0:01:55,0,0.00%,4.55%,$0.00 
/publications/pen-america-a-journal-for-writers-and-readers/,22,19,0:02:11,6,16.67%,36.36%,$0.00 
/user/jennifer-egan/,22,20,0:01:49,8,62.50%,40.91%,$0.00 
/user/jonathan-friedman/,22,21,0:00:52,12,83.33%,54.55%,$0.00 
/user/katie-zanecchia/,22,22,0:00:28,11,90.91%,72.73%,$0.00 
/user/polina-kovaleva/,22,21,0:00:19,9,100.00%,54.55%,$0.00 
/membership/current-members-a/,21,15,0:00:32,1,100.00%,33.33%,$0.00 
/multimedia/sam-shepard-reads-cesar-vallejo/,21,14,0:07:38,14,64.29%,66.67%,$0.00 
/on-robert-cormiers-the-chocolate-war/,21,17,0:06:40,17,76.47%,76.19%,$0.00 
/pen-bellwether-prize/,21,17,0:01:09,9,66.67%,47.62%,$0.00 
/research-resources/online-harassment-field-manual/,21,17,0:05:28,12,83.33%,61.90%,$0.00 
/the-taiga-syndrome/,21,18,0:03:20,17,88.24%,85.71%,$0.00 
/user/raquel-salas-rivera/,21,19,0:00:49,6,33.33%,61.90%,$0.00 
/advocacy-campaign/fraudulent-news/,20,17,0:03:38,9,88.89%,50.00%,$0.00 
/art-of-the-accused-conversation/,20,20,0:00:00,20,100.00%,100.00%,$0.00 
/creativitys-battles-with-censorship/,20,16,0:09:17,16,68.75%,75.00%,$0.00 
/literary-award/pendiamonstein-spielvogel-award-for-the-art-of-the-essay-10000/,20,20,0:01:11,13,76.92%,75.00%,$0.00 
/pen-america-v-trump/?fbclid=IwAR1fqEt9bcPq5oc32n6AZO8-oKo2ZZ2S6FbQTDdngObdc8XVq8sg99ju0Vk,20,20,0:00:00,19,100.00%,100.00%,$0.00 
/pen-ten-interview-prison-writing-matthew-mendoza/,20,18,0:04:04,14,71.43%,65.00%,$0.00 
/sacred-or-profane-on-bless-me-ultima/,20,17,0:00:35,17,82.35%,85.00%,$0.00 
/things-fall-apart-chapter-fourteen/,20,17,0:00:58,17,82.35%,85.00%,$0.00 
/user/michelle-franke/,20,16,0:02:12,3,100.00%,35.00%,$0.00 
/and-campus-for-all-diversity-inclusion-and-free-speech-at-u-s-universities/,19,19,0:01:33,14,92.86%,84.21%,$0.00 
/announcing-2018-pen-hemingway-award-winner/,19,16,0:00:59,6,83.33%,47.37%,$0.00 
/event/myth-fate-family/,19,16,0:06:43,8,75.00%,52.63%,$0.00 
/frago/,19,17,0:00:13,17,94.12%,89.47%,$0.00 
/multimedia/young-ha-kim-reads-their-last-visitor/,19,19,0:00:00,19,100.00%,100.00%,$0.00 
/press-release/european-court-justice-right-to-be-forgotten-threaten-digital-rights/,19,19,0:00:00,19,100.00%,100.00%,$0.00 
